song_id,genre,sub-genre,sub-genre-alt
1,22,,
2,12,,
3,15,,
4,12,,
5,29,,
6,23,,
7,8,,
8,10,,
9,29,,
10,8,,
11,8,,
12,12,33,
13,12,,
14,27,,
15,17,,
16,29,,
17,12,33,
18,12,32,
19,12,7,
20,20,11,
21,18,11,21
22,Alternative Metal,,
23,29,16,
24,30,6,
25,30,6,
26,31,,
27,19,,
28,29,,
29,28,,
30,31,,
31,29,,
32,35,,
33,12,,
34,11,18,21
35,35,,
36,29,12,
37,15,,
38,31,,
39,Rock Celtic,,
40,21,,
41,10,,
42,10,,
43,34,,
44,10,,
45,9,,
46,6,,
47,Rock Celtic,,
48,26,,
49,29,25,
50,29,2,
51,29,2,
52,19,,
53,29,16,
54,29,24,
55,5,,
56,Progressive Rock,,
57,28,,
58,29,16,
59,29,2,
60,1,,
61,8,,
62,29,,
63,21,,
64,4,,
65,10,,
66,23,,
67,28,,
68,14,,
69,10,,
70,2,,
71,29,,
72,5,,
73,8,,
74,29,,
75,23,,
76,23,,
77,2,,
78,4,,
79,19,,
80,9,,
81,13,,
82,22,,
83,16,,
84,12,,
85,23,,
86,17,,
87,17,,
88,29,,
89,1,,
90,17,,
91,23,,
92,3,,
93,29,16,
94,8,,
95,4,,
96,29,2,
